path,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,entropy_0,asm_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,entropy_45,asm_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,entropy_95,asm_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,entropy_135,asm_135,labels
datasets/WHIMBREL\001.jpg,154.7304534313714,7.81011029411739,0.27633723343865907,0.00027234456943393164,0.9706538441329824,-35556335.67426493,4.155648337309748e-09,322.5580930411397,11.531534025374842,0.22025564989260868,0.00018900322399881397,0.938918044884424,-35556335.67426493,2.88396032713034e-09,165.47974877450866,8.343780637254536,0.25847170930421237,0.0002468999960201605,0.9686683841867776,-35556335.67426493,3.767394958803719e-09,244.9072356785905,10.321584006151529,0.22039961393619512,0.0001942723061739038,0.9536224741513144,-35556335.67426493,2.9643601405930146e-09,WHIMBREL
datasets/WHIMBREL\002.jpg,130.45618872548954,7.078002450980049,0.28846826579666807,0.0008469331910728446,0.9353726921093094,-44548670.922081046,1.2923174912610544e-08,222.8947943098855,9.505021145713163,0.24210993374304118,0.0006760306456526569,0.88857272146674,-44548670.922081046,1.0315409021799574e-08,135.78296568627485,6.868198529411327,0.30674304019125287,0.0010300283347675775,0.9320035491404259,-44548670.922081046,1.57169850886166e-08,253.10648212226585,9.94382160707418,0.2399680353079045,0.0006740456639795329,0.8734711261843727,-44548670.922081046,1.0285120605156447e-08,WHIMBREL
datasets/WHIMBREL\003.jpg,86.17717524509777,4.181678921568654,0.484119149432663,0.008591754213748918,0.9838550718580903,-73213947.51600286,1.3109976522444028e-07,191.79063437139737,6.578885044213762,0.3919697792469547,0.00592964235652422,0.9641494476876916,-73213947.51600286,9.047916193426849e-08,121.61835171568679,5.308700980392138,0.4286465741113816,0.006933450607188341,0.9772055090042796,-73213947.51600286,1.0579606029034944e-07,192.4794617454836,6.851841599384855,0.3776653336442059,0.005541433343961251,0.9640207710827736,-73213947.51600286,8.455556249940874e-08,WHIMBREL
datasets/WHIMBREL\004.jpg,75.79483762254907,3.5332873774510167,0.6255826801193481,0.05288654683782979,0.965534751764561,-57535368.13151642,8.069846624424712e-07,141.4663898500588,4.812179930795867,0.5771044085166631,0.04371182089046578,0.9359144627278849,-57535368.13151642,6.669894545053983e-07,78.65421262254885,3.603569240196096,0.638243769349067,0.05665554869408701,0.9642336819679792,-57535368.13151642,8.64495066743271e-07,135.06125336409042,4.846320645905464,0.577024295501456,0.0438863797247118,0.9388160696659721,-57535368.13151642,6.696530109361542e-07,WHIMBREL
datasets/WHIMBREL\005.jpg,129.66272977941142,6.481142769607685,0.37512928208704077,0.0008287106418279628,0.9707761660192438,-48670213.62225017,1.2645120877501874e-08,282.9014840446012,10.079246443675496,0.2672505362055991,0.000444608342013785,0.936427690441748,-48670213.62225017,6.784184906216202e-09,172.7452665441143,7.827068014705658,0.29665312945148137,0.0005250984024699033,0.9611065441561002,-48670213.62225017,8.012365760343984e-09,251.76687427912844,9.479999999999967,0.2718589675025665,0.00045360366972097357,0.94342400919153,-48670213.62225017,6.921442714248254e-09,WHIMBREL
datasets/WHIMBREL\006.jpg,113.53615196078356,5.96636029411731,0.35696317773128067,0.001126710157676735,0.9596310052987469,-48880698.008405134,1.7192232630565413e-08,255.36607458670375,9.75973856209143,0.24844410499133784,0.0005811241380706944,0.9092566907697895,-48880698.008405134,8.867250641947852e-09,143.1737745098024,7.485355392156447,0.2754845987564913,0.0006685507311265499,0.9490053977595619,-48880698.008405134,1.0201274583840178e-08,209.96427527874104,9.03297193387145,0.2481834224522055,0.0005684029195880506,0.9253947956114859,-48880698.008405134,8.673140252503214e-09,WHIMBREL
datasets/WHIMBREL\007.jpg,102.52473958333323,4.299923406862667,0.5792546251862398,0.009808379997889933,0.9880247378006908,-72369964.78891426,1.4966400143264668e-07,183.67770857362737,6.007151095732467,0.4762208056565301,0.006710240715686052,0.9786094475991625,-72369964.78891426,1.023901476392525e-07,114.30421262254832,4.53788296568622,0.5201427249818499,0.007989591358717199,0.9866539759552448,-72369964.78891426,1.219114892382385e-07,213.34051518646743,6.363075740100037,0.4765389995073636,0.006746682382385978,0.9751550503388668,-72369964.78891426,1.0294620334451261e-07,WHIMBREL
datasets/WHIMBREL\008.jpg,87.44509803921558,4.457169117646838,0.4679931503066671,0.0022259815983110462,0.9729074750647637,-37588901.71635823,3.396578366563486e-08,200.26875816993655,8.49153402537473,0.3023634495317342,0.001091790413913792,0.9380621750953672,-37588901.71635823,1.6659399626370116e-08,138.61749387254815,7.286672794117194,0.32189954567218176,0.0012309114367445814,0.9570703840008242,-37588901.71635823,1.878221796790438e-08,208.10432910419337,8.597647058823457,0.30219152810999594,0.001097491471428565,0.9356381223819081,-37588901.71635823,1.6746390860421218e-08,WHIMBREL
datasets/WHIMBREL\009.jpg,94.17216605392132,4.416988357843041,0.5668369180124332,0.007089214156289047,0.9841269628261061,-64325555.44168481,1.0817282342970347e-07,198.95417147251206,6.534548250672853,0.4656737461160537,0.004510786420093062,0.9665347031466451,-64325555.44168481,6.882913849018955e-08,101.34270833333319,4.384650735294063,0.5173915405505365,0.005491340047622909,0.9829086494367747,-64325555.44168481,8.379119945713667e-08,152.79037293348551,5.600399846213024,0.48465557246626995,0.004822151714339308,0.9742998123819109,-64325555.44168481,7.358019583647626e-08,WHIMBREL
datasets/WHIMBREL\010.jpg,127.97593443627453,5.265548406862453,0.4878183643263031,0.005187744938470181,0.9168432443361383,-43643908.52817929,7.915870572616854e-08,198.6272356785864,6.542006920415259,0.44493425115895274,0.0042628181483447426,0.8709433683419331,-43643908.52817929,6.504544293738926e-08,128.52175245098047,4.937285539215358,0.5286391715293107,0.006215963337981485,0.9161887112153689,-43643908.52817929,9.484807339449288e-08,254.25150326797674,7.241768550557479,0.44739677493539964,0.0043100772911255705,0.8348016397484823,-43643908.52817929,6.576656022835648e-08,WHIMBREL
